Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,009091,2016,01,01,29.0
IDCJAC0016,009091,2016,01,02,30.0
IDCJAC0016,009091,2016,01,03,31.1
IDCJAC0016,009091,2016,01,04,17.1
IDCJAC0016,009091,2016,01,05,26.9
IDCJAC0016,009091,2016,01,06,30.8
IDCJAC0016,009091,2016,01,07,29.9
IDCJAC0016,009091,2016,01,08,17.6
IDCJAC0016,009091,2016,01,09,26.8
IDCJAC0016,009091,2016,01,10,18.7
IDCJAC0016,009091,2016,01,11,22.9
IDCJAC0016,009091,2016,01,12,25.6
IDCJAC0016,009091,2016,01,13,32.0
IDCJAC0016,009091,2016,01,14,31.5
IDCJAC0016,009091,2016,01,15,30.8
IDCJAC0016,009091,2016,01,16,23.9
IDCJAC0016,009091,2016,01,17,24.8
IDCJAC0016,009091,2016,01,18,12.8
IDCJAC0016,009091,2016,01,19,19.5
IDCJAC0016,009091,2016,01,20,26.9
IDCJAC0016,009091,2016,01,21,22.6
IDCJAC0016,009091,2016,01,22,30.9
IDCJAC0016,009091,2016,01,23,24.6
IDCJAC0016,009091,2016,01,24,30.1
IDCJAC0016,009091,2016,01,25,22.6
IDCJAC0016,009091,2016,01,26,27.2
IDCJAC0016,009091,2016,01,27,25.6
IDCJAC0016,009091,2016,01,28,29.1
IDCJAC0016,009091,2016,01,29,26.7
IDCJAC0016,009091,2016,01,30,3.5
IDCJAC0016,009091,2016,01,31,10.9
IDCJAC0016,009091,2016,02,01,26.8
IDCJAC0016,009091,2016,02,02,29.6
IDCJAC0016,009091,2016,02,03,29.8
IDCJAC0016,009091,2016,02,04,29.5
IDCJAC0016,009091,2016,02,05,28.5
IDCJAC0016,009091,2016,02,06,29.7
IDCJAC0016,009091,2016,02,07,29.0
IDCJAC0016,009091,2016,02,08,29.4
IDCJAC0016,009091,2016,02,09,28.7
IDCJAC0016,009091,2016,02,10,27.7
IDCJAC0016,009091,2016,02,11,28.5
IDCJAC0016,009091,2016,02,12,27.8
IDCJAC0016,009091,2016,02,13,27.2
IDCJAC0016,009091,2016,02,14,27.0
IDCJAC0016,009091,2016,02,15,28.4
IDCJAC0016,009091,2016,02,16,26.1
IDCJAC0016,009091,2016,02,17,25.9
IDCJAC0016,009091,2016,02,18,24.8
IDCJAC0016,009091,2016,02,19,23.6
IDCJAC0016,009091,2016,02,20,25.4
IDCJAC0016,009091,2016,02,21,20.2
IDCJAC0016,009091,2016,02,22,21.2
IDCJAC0016,009091,2016,02,23,17.9
IDCJAC0016,009091,2016,02,24,24.3
IDCJAC0016,009091,2016,02,25,26.7
IDCJAC0016,009091,2016,02,26,24.3
IDCJAC0016,009091,2016,02,27,25.5
IDCJAC0016,009091,2016,02,28,19.8
IDCJAC0016,009091,2016,02,29,21.0
IDCJAC0016,009091,2016,03,01,24.8
IDCJAC0016,009091,2016,03,02,24.7
IDCJAC0016,009091,2016,03,03,23.6
IDCJAC0016,009091,2016,03,04,24.0
IDCJAC0016,009091,2016,03,05,24.6
