Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,008315,2016,01,01,19.7,1,Y
IDCJAC0011,008315,2016,01,02,18.3,1,Y
IDCJAC0011,008315,2016,01,03,17.2,1,Y
IDCJAC0011,008315,2016,01,04,21.4,1,Y
IDCJAC0011,008315,2016,01,05,21.1,1,Y
IDCJAC0011,008315,2016,01,06,21.0,1,Y
IDCJAC0011,008315,2016,01,07,19.6,1,Y
IDCJAC0011,008315,2016,01,08,20.4,1,Y
IDCJAC0011,008315,2016,01,09,17.9,1,Y
IDCJAC0011,008315,2016,01,10,19.9,1,Y
IDCJAC0011,008315,2016,01,11,15.7,1,Y
IDCJAC0011,008315,2016,01,12,17.7,1,Y
IDCJAC0011,008315,2016,01,13,18.9,1,Y
IDCJAC0011,008315,2016,01,14,22.8,1,Y
IDCJAC0011,008315,2016,01,15,23.4,1,Y
IDCJAC0011,008315,2016,01,16,19.8,1,Y
IDCJAC0011,008315,2016,01,17,22.7,1,Y
IDCJAC0011,008315,2016,01,18,18.3,1,Y
IDCJAC0011,008315,2016,01,19,17.2,1,Y
IDCJAC0011,008315,2016,01,20,16.4,1,Y
IDCJAC0011,008315,2016,01,21,18.1,1,Y
IDCJAC0011,008315,2016,01,22,17.9,1,Y
IDCJAC0011,008315,2016,01,23,17.5,1,Y
IDCJAC0011,008315,2016,01,24,18.3,1,Y
IDCJAC0011,008315,2016,01,25,22.6,1,Y
IDCJAC0011,008315,2016,01,26,22.1,1,Y
IDCJAC0011,008315,2016,01,27,20.9,1,Y
IDCJAC0011,008315,2016,01,28,25.7,1,Y
IDCJAC0011,008315,2016,01,29,25.6,1,Y
IDCJAC0011,008315,2016,01,30,23.8,1,Y
IDCJAC0011,008315,2016,01,31,22.7,1,Y
IDCJAC0011,008315,2016,02,01,16.0,1,Y
IDCJAC0011,008315,2016,02,02,12.0,1,Y
IDCJAC0011,008315,2016,02,03,13.8,1,Y
IDCJAC0011,008315,2016,02,04,19.2,1,Y
IDCJAC0011,008315,2016,02,05,17.0,1,Y
IDCJAC0011,008315,2016,02,06,16.2,1,Y
IDCJAC0011,008315,2016,02,07,16.6,1,Y
IDCJAC0011,008315,2016,02,08,18.9,1,Y
IDCJAC0011,008315,2016,02,09,18.3,1,Y
IDCJAC0011,008315,2016,02,10,19.8,1,Y
IDCJAC0011,008315,2016,02,11,19.7,1,Y
IDCJAC0011,008315,2016,02,12,19.8,1,Y
IDCJAC0011,008315,2016,02,13,20.2,1,Y
IDCJAC0011,008315,2016,02,14,18.6,1,Y
IDCJAC0011,008315,2016,02,15,20.4,1,Y
IDCJAC0011,008315,2016,02,16,26.9,1,Y
IDCJAC0011,008315,2016,02,17,22.8,1,Y
IDCJAC0011,008315,2016,02,18,21.5,1,Y
IDCJAC0011,008315,2016,02,19,18.0,1,Y
IDCJAC0011,008315,2016,02,20,18.3,1,Y
IDCJAC0011,008315,2016,02,21,18.8,1,Y
IDCJAC0011,008315,2016,02,22,16.2,1,Y
IDCJAC0011,008315,2016,02,23,13.9,1,Y
IDCJAC0011,008315,2016,02,24,12.8,1,Y
IDCJAC0011,008315,2016,02,25,12.0,1,Y
IDCJAC0011,008315,2016,02,26,16.7,1,Y
IDCJAC0011,008315,2016,02,27,22.2,1,Y
IDCJAC0011,008315,2016,02,28,20.6,1,Y
IDCJAC0011,008315,2016,02,29,17.7,1,Y
IDCJAC0011,008315,2016,03,01,16.0,1,N
IDCJAC0011,008315,2016,03,02,14.1,1,N
IDCJAC0011,008315,2016,03,03,17.9,1,N
IDCJAC0011,008315,2016,03,04,20.4,1,N
IDCJAC0011,008315,2016,03,05,15.4,1,N
IDCJAC0011,008315,2016,03,06,15.6,1,N
IDCJAC0011,008315,2016,03,07,18.9,1,N
IDCJAC0011,008315,2016,03,08,22.9,1,N
IDCJAC0011,008315,2016,03,09,16.6,1,N
IDCJAC0011,008315,2016,03,10,16.3,1,N
IDCJAC0011,008315,2016,03,11,21.4,1,N
IDCJAC0011,008315,2016,03,12,21.1,1,N
IDCJAC0011,008315,2016,03,13,19.7,1,N
IDCJAC0011,008315,2016,03,14,19.9,1,N
IDCJAC0011,008315,2016,03,15,22.8,1,N
IDCJAC0011,008315,2016,03,16,20.8,1,N
IDCJAC0011,008315,2016,03,17,18.7,1,N
IDCJAC0011,008315,2016,03,18,20.3,1,N
IDCJAC0011,008315,2016,03,19,20.4,1,N
IDCJAC0011,008315,2016,03,20,19.7,1,N
IDCJAC0011,008315,2016,03,21,20.7,1,N
IDCJAC0011,008315,2016,03,22,20.6,1,N
IDCJAC0011,008315,2016,03,23,18.5,1,N
IDCJAC0011,008315,2016,03,24,20.6,1,N
IDCJAC0011,008315,2016,03,25,23.7,1,N
IDCJAC0011,008315,2016,03,26,21.5,1,N
IDCJAC0011,008315,2016,03,27,21.0,1,N
IDCJAC0011,008315,2016,03,28,16.4,1,N
IDCJAC0011,008315,2016,03,29,14.6,1,N
IDCJAC0011,008315,2016,03,30,19.9,1,N
IDCJAC0011,008315,2016,03,31,15.1,1,N
IDCJAC0011,008315,2016,04,01,19.8,1,Y
IDCJAC0011,008315,2016,04,02,16.5,1,Y
IDCJAC0011,008315,2016,04,03,17.3,1,Y
IDCJAC0011,008315,2016,04,04,16.2,1,Y
IDCJAC0011,008315,2016,04,05,20.1,1,Y
IDCJAC0011,008315,2016,04,06,15.2,1,Y
IDCJAC0011,008315,2016,04,07,15.3,1,Y
IDCJAC0011,008315,2016,04,08,19.1,1,Y
IDCJAC0011,008315,2016,04,09,19.4,1,Y
IDCJAC0011,008315,2016,04,10,18.0,1,Y
IDCJAC0011,008315,2016,04,11,19.3,1,Y
IDCJAC0011,008315,2016,04,12,20.3,1,Y
IDCJAC0011,008315,2016,04,13,20.9,1,Y
IDCJAC0011,008315,2016,04,14,17.7,1,Y
IDCJAC0011,008315,2016,04,15,15.3,1,Y
IDCJAC0011,008315,2016,04,16,17.1,1,Y
IDCJAC0011,008315,2016,04,17,17.4,1,Y
IDCJAC0011,008315,2016,04,18,18.7,1,Y
IDCJAC0011,008315,2016,04,19,17.6,1,Y
IDCJAC0011,008315,2016,04,20,14.5,1,Y
IDCJAC0011,008315,2016,04,21,16.9,1,Y
IDCJAC0011,008315,2016,04,22,19.0,1,Y
IDCJAC0011,008315,2016,04,23,18.3,1,Y
IDCJAC0011,008315,2016,04,24,17.2,1,Y
IDCJAC0011,008315,2016,04,25,16.6,1,Y
IDCJAC0011,008315,2016,04,26,19.5,1,Y
IDCJAC0011,008315,2016,04,27,15.1,1,Y
IDCJAC0011,008315,2016,04,28,11.9,1,Y
IDCJAC0011,008315,2016,04,29,15.2,1,Y
IDCJAC0011,008315,2016,04,30,14.3,1,Y
IDCJAC0011,008315,2016,05,01,11.7,1,N
IDCJAC0011,008315,2016,05,02,7.1,1,N
IDCJAC0011,008315,2016,05,03,11.3,1,N
IDCJAC0011,008315,2016,05,04,10.3,1,N
IDCJAC0011,008315,2016,05,05,11.3,1,N
IDCJAC0011,008315,2016,05,06,10.9,1,N
IDCJAC0011,008315,2016,05,07,16.5,1,N
IDCJAC0011,008315,2016,05,08,11.2,1,N
IDCJAC0011,008315,2016,05,09,7.8,1,N
IDCJAC0011,008315,2016,05,10,8.8,1,N
IDCJAC0011,008315,2016,05,11,9.9,1,N
IDCJAC0011,008315,2016,05,12,10.2,1,N
IDCJAC0011,008315,2016,05,13,11.5,1,N
IDCJAC0011,008315,2016,05,14,13.2,1,N
IDCJAC0011,008315,2016,05,15,10.5,1,N
IDCJAC0011,008315,2016,05,16,9.2,1,N
IDCJAC0011,008315,2016,05,17,8.6,1,N
IDCJAC0011,008315,2016,05,18,7.2,1,N
IDCJAC0011,008315,2016,05,19,13.4,1,N
IDCJAC0011,008315,2016,05,20,10.2,1,N
IDCJAC0011,008315,2016,05,21,13.8,1,N
IDCJAC0011,008315,2016,05,22,13.6,1,N
IDCJAC0011,008315,2016,05,23,8.4,1,N
IDCJAC0011,008315,2016,05,24,12.5,1,N
IDCJAC0011,008315,2016,05,25,16.3,1,N
IDCJAC0011,008315,2016,05,26,15.2,1,N
IDCJAC0011,008315,2016,05,27,10.4,1,N
IDCJAC0011,008315,2016,05,28,11.3,1,N
IDCJAC0011,008315,2016,05,29,11.4,1,N
IDCJAC0011,008315,2016,05,30,10.9,1,N
IDCJAC0011,008315,2016,05,31,7.8,1,N
IDCJAC0011,008315,2016,06,01,6.8,1,Y
